# bankSEC	personnelCosts	dateBegin1	dateEnd1	nonInterestIncome	dateBegin2	dateEnd2
http://edgarwrap-hrd.appspot.com/cik/701853#id	70375000	2011-01-01	2011-03-31	63332000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	70375000	2011-01-01	2011-03-31	68311000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	69287000	2010-01-01	2010-03-31	63332000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	69287000	2010-01-01	2010-03-31	68311000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	72400000	2010-01-01	2010-03-31	89500000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	72400000	2010-01-01	2010-03-31	102500000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	78200000	2011-01-01	2011-03-31	102500000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	78200000	2011-01-01	2011-03-31	89500000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/36270#id	249952000	2009-04-01	2009-06-30	503990000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	249952000	2009-04-01	2009-06-30	271182000	2008-04-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	499344000	2009-01-01	2009-06-30	503990000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	499344000	2009-01-01	2009-06-30	271182000	2008-04-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	487998000	2008-01-01	2008-06-30	503990000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	487998000	2008-01-01	2008-06-30	271182000	2008-04-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	499344000	2009-01-01	2009-06-30	583845000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	249952000	2009-04-01	2009-06-30	583845000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	487998000	2008-01-01	2008-06-30	583845000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	499344000	2009-01-01	2009-06-30	271649000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	487998000	2008-01-01	2008-06-30	271649000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	249952000	2009-04-01	2009-06-30	271649000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236127000	2008-04-01	2008-06-30	583845000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236127000	2008-04-01	2008-06-30	503990000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236127000	2008-04-01	2008-06-30	271182000	2008-04-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236127000	2008-04-01	2008-06-30	271649000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	249392000	2009-01-01	2009-03-31	232341000	2009-01-01	2009-03-31
http://edgarwrap-hrd.appspot.com/cik/36270#id	264046000	2010-01-01	2010-03-31	232341000	2009-01-01	2009-03-31
http://edgarwrap-hrd.appspot.com/cik/36270#id	249392000	2009-01-01	2009-03-31	257706000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/36270#id	264046000	2010-01-01	2010-03-31	257706000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	81171000	2009-04-01	2009-06-30	80891000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158697000	2010-01-01	2010-06-30	80891000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158269000	2009-01-01	2009-06-30	80891000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	79342000	2010-04-01	2010-06-30	80891000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	81171000	2009-04-01	2009-06-30	178929000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	81171000	2009-04-01	2009-06-30	101941000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	81171000	2009-04-01	2009-06-30	190918000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158697000	2010-01-01	2010-06-30	178929000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158697000	2010-01-01	2010-06-30	101941000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158697000	2010-01-01	2010-06-30	190918000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158269000	2009-01-01	2009-06-30	101941000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158269000	2009-01-01	2009-06-30	178929000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	158269000	2009-01-01	2009-06-30	190918000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	79342000	2010-04-01	2010-06-30	101941000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	79342000	2010-04-01	2010-06-30	178929000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	79342000	2010-04-01	2010-06-30	190918000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	68189000	2010-04-01	2010-06-30	57086000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	141455000	2009-01-01	2009-06-30	57086000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	141455000	2009-01-01	2009-06-30	120418000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	68189000	2010-04-01	2010-06-30	120418000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	68189000	2010-04-01	2010-06-30	148296000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	141455000	2009-01-01	2009-06-30	148296000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	137476000	2010-01-01	2010-06-30	57086000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	137476000	2010-01-01	2010-06-30	120418000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	137476000	2010-01-01	2010-06-30	148296000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	68189000	2010-04-01	2010-06-30	80478000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	141455000	2009-01-01	2009-06-30	80478000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	137476000	2010-01-01	2010-06-30	80478000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	70092000	2009-04-01	2009-06-30	120418000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	70092000	2009-04-01	2009-06-30	148296000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	70092000	2009-04-01	2009-06-30	80478000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	70092000	2009-04-01	2009-06-30	57086000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	72800000	2010-07-01	2010-09-30	261400000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	72800000	2010-07-01	2010-09-30	102600000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	219800000	2010-01-01	2010-09-30	261400000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	219800000	2010-01-01	2010-09-30	102600000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	72800000	2010-07-01	2010-09-30	69100000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	214400000	2009-01-01	2009-09-30	261400000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	214400000	2009-01-01	2009-09-30	102600000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	73000000	2009-07-01	2009-09-30	261400000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	219800000	2010-01-01	2010-09-30	69100000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	73000000	2009-07-01	2009-09-30	102600000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	214400000	2009-01-01	2009-09-30	69100000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	73000000	2009-07-01	2009-09-30	69100000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	72800000	2010-07-01	2010-09-30	293000000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	219800000	2010-01-01	2010-09-30	293000000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	214400000	2009-01-01	2009-09-30	293000000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	73000000	2009-07-01	2009-09-30	293000000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236678000	2008-07-01	2008-09-30	782216000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236678000	2008-07-01	2008-09-30	697562000	2008-01-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	255449000	2009-07-01	2009-09-30	782216000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	255449000	2009-07-01	2009-09-30	697562000	2008-01-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	724676000	2008-01-01	2008-09-30	782216000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	724676000	2008-01-01	2008-09-30	697562000	2008-01-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	754793000	2009-01-01	2009-09-30	782216000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	754793000	2009-01-01	2009-09-30	697562000	2008-01-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236678000	2008-07-01	2008-09-30	113717000	2008-07-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	255449000	2009-07-01	2009-09-30	113717000	2008-07-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	724676000	2008-01-01	2008-09-30	113717000	2008-07-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	754793000	2009-01-01	2009-09-30	113717000	2008-07-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	724676000	2008-01-01	2008-09-30	278226000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	236678000	2008-07-01	2008-09-30	278226000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	255449000	2009-07-01	2009-09-30	278226000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	754793000	2009-01-01	2009-09-30	278226000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	174546000	2010-01-01	2010-06-30	190993000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	173032000	2009-01-01	2009-06-30	190993000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87108000	2010-04-01	2010-06-30	190993000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87108000	2010-04-01	2010-06-30	194899000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	174546000	2010-01-01	2010-06-30	194899000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	173032000	2009-01-01	2009-06-30	194899000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87108000	2010-04-01	2010-06-30	101647000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	174546000	2010-01-01	2010-06-30	101647000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	173032000	2009-01-01	2009-06-30	101647000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87108000	2010-04-01	2010-06-30	98562000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	174546000	2010-01-01	2010-06-30	98562000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	173032000	2009-01-01	2009-06-30	98562000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	86279000	2009-04-01	2009-06-30	101647000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	86279000	2009-04-01	2009-06-30	194899000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	86279000	2009-04-01	2009-06-30	190993000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	86279000	2009-04-01	2009-06-30	98562000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	333612000	2008-01-01	2008-12-31	375712000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	345779000	2009-01-01	2009-12-31	375712000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	333612000	2008-01-01	2008-12-31	405111000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	345779000	2009-01-01	2009-12-31	405111000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	333612000	2008-01-01	2008-12-31	396259000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	345779000	2009-01-01	2009-12-31	396259000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	346550000	2010-01-01	2010-12-31	396259000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	346550000	2010-01-01	2010-12-31	375712000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	346550000	2010-01-01	2010-12-31	405111000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	87438000	2010-01-01	2010-03-31	93189000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	87438000	2010-01-01	2010-03-31	95906000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	87392000	2011-01-01	2011-03-31	93189000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	87392000	2011-01-01	2011-03-31	95906000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	323249000	2010-01-01	2010-12-31	345523000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	309478000	2008-01-01	2008-12-31	345523000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	323249000	2010-01-01	2010-12-31	285650000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	309478000	2008-01-01	2008-12-31	285650000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	304390000	2009-01-01	2009-12-31	345523000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	304390000	2009-01-01	2009-12-31	285650000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	323249000	2010-01-01	2010-12-31	350961000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	309478000	2008-01-01	2008-12-31	350961000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	304390000	2009-01-01	2009-12-31	350961000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	87267000	2009-07-01	2009-09-30	293128000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	259988000	2010-01-01	2010-09-30	293128000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	85442000	2010-07-01	2010-09-30	293128000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87267000	2009-07-01	2009-09-30	102135000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87267000	2009-07-01	2009-09-30	99543000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	259988000	2010-01-01	2010-09-30	102135000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	87267000	2009-07-01	2009-09-30	294442000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	259988000	2010-01-01	2010-09-30	99543000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	85442000	2010-07-01	2010-09-30	102135000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	85442000	2010-07-01	2010-09-30	99543000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	259988000	2010-01-01	2010-09-30	294442000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	85442000	2010-07-01	2010-09-30	294442000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	260299000	2009-01-01	2009-09-30	293128000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	260299000	2009-01-01	2009-09-30	102135000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	260299000	2009-01-01	2009-09-30	99543000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	260299000	2009-01-01	2009-09-30	294442000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	296100000	2008-01-01	2008-12-31	396700000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	296100000	2008-01-01	2008-12-31	362700000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	296100000	2008-01-01	2008-12-31	294000000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	296500000	2010-01-01	2010-12-31	396700000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	296500000	2010-01-01	2010-12-31	294000000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	296500000	2010-01-01	2010-12-31	362700000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	287400000	2009-01-01	2009-12-31	396700000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	287400000	2009-01-01	2009-12-31	294000000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	287400000	2009-01-01	2009-12-31	362700000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	278734000	2009-01-01	2009-12-31	275276000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271688000	2010-01-01	2010-12-31	275276000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271688000	2010-01-01	2010-12-31	264144000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	278734000	2009-01-01	2009-12-31	264144000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	278734000	2009-01-01	2009-12-31	245607000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271688000	2010-01-01	2010-12-31	245607000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271556000	2008-01-01	2008-12-31	275276000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271556000	2008-01-01	2008-12-31	245607000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	271556000	2008-01-01	2008-12-31	264144000	2010-01-01	2010-12-31
